x,y,z,arm_id,j1,j2
0.24999858900528096,0.2299895538253321,0.19999918956461482,1,18.229545295990583,-57.618216120339035
0.24974583810123752,0.2299851956872812,0.19999804419256198,1,18.1722495164775,-57.62655654550881
0.24898800820819766,0.22997040517828865,0.19999477054667864,1,18.000362177938253,-57.651577821018186
0.24772638774009603,0.2299400425738349,0.19998985618251747,1,17.71388328037284,-57.69327994686712
0.24595999662155643,0.2298752490333874,0.19998444153820244,1,17.31281826091666,-57.752976064896274
0.24368202310041476,0.22972964742054452,0.19998097858288355,1,16.797180184751415,-57.83501953783985
0.2408892576277011,0.22945594808394415,0.19998211902589286,1,16.16697578277528,-57.9431865321649
0.23758332402929802,0.22900789486419948,0.19998769059621455,1,15.422205142173954,-58.07954648746841
0.23376444316532685,0.22831423707283047,0.19999314196655565,1,14.562873798764503,-58.24663874272536
0.2294361316891325,0.22728704115996157,0.19999240113129818,1,13.58898869514871,-58.44710442620292
0.2246124103741689,0.22584271678977852,0.19999917251084032,1,12.500561465044209,-58.68761767831713
0.21931099163806783,0.22386475573679665,0.20002220904514445,1,11.297608982949827,-58.97481732854378
0.21355535239597628,0.2211886321191457,0.19999525320339062,1,9.980115357438555,-59.29490610969403
0.20788305337466592,0.21799469558738163,0.19999031963721334,1,8.66228438001924,-59.63801700727416
0.20279821202205675,0.2145900903071229,0.200024158649448,1,7.4591112948805,-59.97565302731737
0.198285239188612,0.21101087552845998,0.19999071753048153,1,6.370561657739898,-60.27567030739714
0.19433960014383456,0.20743154662330177,0.19998374751069903,1,5.396503793493016,-60.55599374599004
0.19093968957454555,0.20392529530826,0.19998566664991263,1,4.53706951816612,-60.809959964599784
0.18806264841994852,0.20057750850237985,0.1999809014229066,1,3.792312696051155,-61.0311448882771
0.18566466089659078,0.197511223299315,0.19998106868450066,1,3.155999150776172,-61.222732948765696
0.18363748032345686,0.19464135352837472,0.1999842155494581,1,2.6057950338268943,-61.40481157343523
0.18196908019130292,0.19205219367889106,0.199987769628942,1,2.142991102686697,-61.57422413081515
0.1805327947645003,0.18961794370512014,0.19998849648345535,1,1.7362533684814254,-61.73760437135129
0.1788779646812192,0.18656808243089132,0.19997661985339116,1,1.2560922312201201,-61.92499464240634
0.17728980659344898,0.18330708270278614,0.19996426328264844,1,0.781726753161937,-62.107896863124495
0.17611038407923324,0.18053693825120287,0.19997114837870242,1,0.41925038960582867,-62.25533532765905
0.17531158059965662,0.1776870307478896,0.19995172225427382,1,0.16833832199466944,-62.38635157386188
0.1748794859643238,0.17464703372872745,0.19990354106076902,1,0.02950693831905389,-62.50392846449546
0.17478952189706473,0.17144338748413343,0.1998317206341907,1,0.0,-62.60586821447933
0.17478949474870653,0.16760240803090798,0.1997568202681761,1,0.0,-62.71071397685975
0.1747894625753926,0.16287852225661148,0.19968935663379617,1,0.0,-62.816273494250964
0.17478942549734292,0.1571753957783162,0.1996397610481686,1,0.0,-62.909033693773374
0.1747893857086713,0.1507078149516738,0.19962457610587875,1,0.0,-62.97076769991951
0.17478935068270635,0.14467670494306245,0.19965016875656075,1,0.0,-62.9896308668421
0.1747893209791988,0.13927263808659515,0.19970322114282646,1,0.0,-62.97627955260343
0.1747892964821543,0.13455967135115932,0.19976059715912967,1,0.0,-62.93882281060028
0.17478927708885295,0.13067245495521207,0.19982652920812372,1,0.0,-62.89306981458334
0.17478926271285547,0.1277396341837845,0.19990477731930362,1,0.0,-62.85474203618341
0.17490265346417116,0.12528164651076426,0.19994630918599887,1,0.05186475983375026,-62.8072856335091
0.17525663458298602,0.12276238500354565,0.1999100639858769,1,0.21817594268846568,-62.72760996385468
