x,y,z,arm_id,arm,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg
0.24999005965716614,0.2650084027905819,0.19999175502479224,1,right,15.923525685847897,-52.23604481305036,-45.36041054733689,72.47207608422298,-1.9346739527806502,0.05335612702268159
0.24971091127625902,0.2650236250937923,0.1999571747733275,1,right,15.866229906334814,-52.233948032961194,-45.357899893298246,72.47558236076652,-1.9292975900282097,0.051506925959358234
0.24887366476826495,0.2650674974918253,0.19985349945396705,1,right,15.694342567795568,-52.2276576926937,-45.35036793118231,72.48610119039719,-1.9131685017708873,0.045959322769388175
0.24751478400894117,0.265062295309576,0.19975793584800844,1,right,15.419186763761124,-52.25309385187876,-45.35503082045063,72.5545955443421,-1.8547069652831598,0.036374699641449196
0.24627292103480275,0.2648699265095453,0.1998568113151003,1,right,15.177473029603034,-52.36735194958717,-45.40240995982039,72.7484866019117,-1.7188499650346751,0.02613236437413263
0.24459444340200898,0.2645580506292984,0.1999782797414798,1,right,14.852203153958204,-52.52404552857605,-45.466284673737235,73.01928319996046,-1.530820891441083,0.015502638835495153
0.24233497423652492,0.26412624138926377,0.19998684858525423,1,right,14.41230715630805,-52.68271715437669,-45.524175491493935,73.32313618642529,-1.3186280544093778,0.009212986149261134
0.23949416155664857,0.2633702674102971,0.19999303221096637,1,right,13.865743397441063,-52.90860424088435,-45.6052968789272,73.76272125426703,-1.0194850256359296,-5.859942783695939e-05
0.23617154956443767,0.2621367705554889,0.1999925673171598,1,right,13.23654949873424,-53.215892929973506,-45.712084996784355,74.3688600908087,-0.6147023357245884,-0.006226379651780903
0.23253639415085892,0.2603398963635813,0.1999915375557716,1,right,12.558847308212759,-53.60743375141064,-45.841489468921516,75.14514774622221,-0.09957305975136872,-0.0006178707784000914
0.22888446056651401,0.2578885269262134,0.199997625332298,1,right,11.894203231906495,-54.0815979386828,-45.99056492768682,76.09306346986371,0.522319113476917,-0.00022978555227559942
0.22535403315946415,0.2548353121008987,0.1999928492092562,1,right,11.26615018731332,-54.61279756767119,-46.14491323952386,77.16573922194556,1.2279567583031006,-0.0068612557989124
0.22234462725461274,0.2514094361972714,0.19999875731072778,1,right,10.751194824852952,-55.15981110106325,-46.29082537150265,78.27801988953428,1.959554835580673,-0.015487482861568896
0.219868467565706,0.2477361745710873,0.1999842984879099,1,right,10.350600927698565,-55.69490605218341,-46.417177407381764,79.37999407074022,2.692710048023073,-0.018722746102024318
0.21792504532764942,0.24393842726111825,0.1999786753825252,1,right,10.064152808590867,-56.210632939283734,-46.52662625541337,80.45180089207209,3.4131617886994263,-0.013818559296342259
0.2164976437131607,0.2400799514438284,0.20000503938706296,1,right,9.890980511286314,-56.707301384369245,-46.62370779876385,81.4914646694283,4.115041943182335,-0.0037913373594867946
0.2155394170154054,0.23604435257845788,0.19999184121686742,1,right,9.830561154341225,-57.179292306224255,-46.70069895116444,82.50696532470498,4.809445807014163,0.008947234717467454
0.2150826561930377,0.23225100901371054,0.19998521461222057,1,right,9.878955477001234,-57.596296009633114,-46.75640789149172,83.41428039212852,5.4378305543541074,0.02072827618464795
0.21500724649431258,0.22891771388829935,0.20002490405056628,1,right,10.002560965831044,-57.95655080412017,-46.796426264193116,84.18679933169366,5.983603025747998,0.029753251033713228
0.21530470566983317,0.2256034920401021,0.1999921401353469,1,right,10.221397066163064,-58.27448808012571,-46.81277277656967,84.89190172266983,6.501566620012601,0.03600824228315839
0.21596818486375777,0.22194696914459228,0.1999911569854484,1,right,10.554543747226319,-58.61661487779492,-46.82019333147051,85.63847060689503,7.069418098578621,0.0408091530934213
0.2170390737195329,0.21829545933013805,0.1999948320627205,1,right,11.002034363780146,-58.93960906098554,-46.81156987114628,86.3330267750189,7.6339107924397345,0.04061790814626393
0.218523666201833,0.214769568631238,0.2000059505073583,1,right,11.564030293959597,-59.234079505766566,-46.788889688167096,86.9506682061872,8.179936026322578,0.03035873287020611
0.22040543625099038,0.2113547878883555,0.19999363562852665,1,right,12.240550845614479,-59.49447985265885,-46.748301195390006,87.4819838700372,8.710377830969678,0.012250245781637947
0.22269583840685098,0.20814888355166616,0.19999941661947426,1,right,13.031611196740265,-59.72736496655676,-46.69650966490871,87.92114170998101,9.219100592157613,-0.006835795230798405
0.2253918821104995,0.20515352557213554,0.19999593047971387,1,right,13.937211782169303,-59.92623651438658,-46.63281965449759,88.26218267618412,9.699663962849424,-0.030226925429775026
0.22850109924246503,0.20239204829350257,0.20000189647757408,1,right,14.95736194133496,-60.09608719691785,-46.56339379643968,88.51189014389942,10.145901134438416,-0.0627410473457223
0.2320576669365709,0.1999840111426626,0.19999889287245,1,right,16.089879914912103,-60.22127076105491,-46.49817745377733,88.66574629883016,10.51007333808735,-0.1205125363724066
0.2357283519139212,0.19806173699363477,0.2000021045217552,1,right,17.228474340475127,-60.299461721623466,-46.458165416572136,88.76606521575148,10.735624843784267,-0.18528747189749017
0.2396497091621038,0.19660857114060062,0.19997193093922574,1,right,18.40189184731826,-60.31745877615615,-46.44738529308438,88.81894165341735,10.79305403797682,-0.24813352971751176
0.24389094424461102,0.19555816543587587,0.20001453138295985,1,right,19.6248857056769,-60.31579827149108,-46.46103709330054,88.81113959372036,10.76742550443398,-0.31598824838909967
0.2479919852879463,0.19507090429509283,0.20002922703349763,1,right,20.75122678883248,-60.247144059015014,-46.51083081501559,88.6944019795707,10.663862391748767,-0.36487829622869467
0.25187873615612427,0.19505831293387815,0.20004285738174898,1,right,21.763222398105512,-60.145017117026754,-46.56560935294966,88.4899997905299,10.500763307604348,-0.4042264663285709
0.2555342422717191,0.19544246473979351,0.2000438951234325,1,right,22.660883229310844,-60.02512733390268,-46.5978663111514,88.20766651010041,10.282329576439675,-0.437784459176308
0.25894798281148346,0.19618984616478571,0.19999547350556712,1,right,23.443756620049097,-59.87332336569877,-46.6104521522686,87.84780590857142,10.005912739678497,-0.4675891533060947
0.2620598310822447,0.19716875183482854,0.20000086901277997,1,right,24.111663546413332,-59.727889483107475,-46.61762279457433,87.46689027403117,9.71631877109764,-0.4933964449476356
0.2648353017108742,0.19832327899681973,0.2000044163968115,1,right,24.664703614400086,-59.57474114974134,-46.616372108832955,87.06530036123618,9.41158702184352,-0.5158224518104666
0.2671771563217022,0.19947148367263592,0.20004968223973973,1,right,25.103075029649023,-59.44208371290165,-46.61408714505964,86.69725129995477,9.133626730320827,-0.5338795380773164
0.26903907197460547,0.20055013047546522,0.2000817610089569,1,right,25.42707449646104,-59.32035922811824,-46.60708393566594,86.36671763688187,8.884183782703522,-0.5491726169082813
0.2710283809745866,0.20205132601907785,0.19999156310422259,1,right,25.727939023423698,-59.12187740975399,-46.58010633902937,85.90689457075162,8.536977269045634,-0.567490162403049
0.2736509986665271,0.20423542797123923,0.19999874155247255,1,right,26.092278859177338,-58.872138297629206,-46.55094439770375,85.2752724040202,8.077758428889949,-0.5892269141765633
0.2763447361208737,0.207000829825148,0.20000281401838194,1,right,26.397170325796843,-58.55777902717446,-46.50628978771119,84.49517897575797,7.5295740596558165,-0.6132501591594242
0.2786765540379301,0.2099630311825657,0.20000104004782754,1,right,26.589659680354686,-58.21975488743778,-46.44992301178227,83.67540531769689,6.9676272291741554,-0.6361927452603225
0.28061266565627935,0.21307871782487098,0.19999539258883695,1,right,26.67234961460335,-57.86364996823728,-46.38243171005,82.83062772560193,6.397713031031338,-0.6581884850667857
0.2823857543742824,0.2167774928348577,0.19999785886884924,1,right,26.654022556233183,-57.441489237645406,-46.29432913826702,81.84823262377398,5.740106502471701,-0.6827497236637448
0.28372319472402013,0.2206552159204961,0.20000808170054243,1,right,26.524899489995157,-56.99768237668776,-46.19398926123441,80.84041538592172,5.0629366968232405,-0.7090284301011365
0.28456209515913083,0.2245931804225054,0.19999291015913256,1,right,26.289573479158328,-56.5368974356644,-46.080558422948464,79.83224830398785,4.377300477288706,-0.7379019445051216
0.28494044439506516,0.2284620848907121,0.2000237233182452,1,right,25.97348582258024,-56.094843071929695,-45.96826960832989,78.8761022314652,3.7151434685978404,-0.7688003050901664
0.284945327525379,0.23250101925545905,0.20000735912334494,1,right,25.573615915799127,-55.61146996230673,-45.837503577104926,77.88001821864808,3.0032782813236802,-0.8042249766246155
0.28434925833000807,0.23653438087716178,0.199982353097283,1,right,25.06419515449212,-55.129244575638886,-45.70402517957227,76.91771570430605,2.3022744151478998,-0.8398257769614754
